address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
201 Ocean Ave UNIT 903P,Santa Monica,CA,90402,1750000,906.0,1.0,1.0,108,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/201-Ocean-Ave-UNIT-903P-Santa-Monica-CA-90402/20486996_zpid/
201 Ocean Ave UNIT 1504B,Santa Monica,CA,90402,3400000,1554.0,3.0,3.0,111,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/201-Ocean-Ave-UNIT-1504B-Santa-Monica-CA-90402/20487203_zpid/
1114 23rd St APT 4,Santa Monica,CA,90403,1059000,1604.0,3.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1114-23rd-St-APT-4-Santa-Monica-CA-90403/2095017507_zpid/
201 Ocean Ave UNIT 1209B,Santa Monica,CA,90402,3800000,1562.0,3.0,3.0,111,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/201-Ocean-Ave-UNIT-1209B-Santa-Monica-CA-90402/20487188_zpid/
201 Ocean Ave UNIT 1105B,Santa Monica,CA,90402,1395000,868.0,1.0,1.0,175,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/201-Ocean-Ave-UNIT-1105B-Santa-Monica-CA-90402/20487174_zpid/
201 Ocean Ave UNIT 409P,Santa Monica,CA,90402,4595000,1566.0,3.0,3.0,37,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/201-Ocean-Ave-UNIT-409P-Santa-Monica-CA-90402/20486952_zpid/
201 Ocean Ave UNIT 1903P,Santa Monica,CA,90402,1850000,906.0,1.0,1.0,112,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/201-Ocean-Ave-UNIT-1903P-Santa-Monica-CA-90402/20487086_zpid/
270 Palisades Beach Rd UNIT 203,Santa Monica,CA,90402,5375000,2210.0,3.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/270-Palisades-Beach-Rd-UNIT-203-Santa-Monica-CA-90402/20486911_zpid/
201 Ocean Ave UNIT 904P,Santa Monica,CA,90402,2600000,1554.0,3.0,3.0,36,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/201-Ocean-Ave-UNIT-904P-Santa-Monica-CA-90402/20486997_zpid/
1328 9th St APT 6,Santa Monica,CA,90401,1250000,1275.0,3.0,3.0,253,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/1328-9th-St-APT-6-Santa-Monica-CA-90401/20479630_zpid/
20 Ocean Park Blvd APT 22,Santa Monica,CA,90405,2595000,2663.0,2.0,3.0,126,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/20-Ocean-Park-Blvd-APT-22-Santa-Monica-CA-90405/20483828_zpid/
1417 10th St,Santa Monica,CA,90401,2999000,4541.0,8.0,4.0,46,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1417-10th-St-Santa-Monica-CA-90401/20479771_zpid/
2817 3rd St,Santa Monica,CA,90405,3000000,2600.0,5.0,5.0,62,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2817-3rd-St-Santa-Monica-CA-90405/20482878_zpid/
201 Ocean Ave UNIT 403P,Santa Monica,CA,90402,1650000,906.0,1.0,1.0,205,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/201-Ocean-Ave-UNIT-403P-Santa-Monica-CA-90402/20486946_zpid/
2903 Delaware Ave,Santa Monica,CA,90404,1599000,1666.0,3.0,3.0,70,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2903-Delaware-Ave-Santa-Monica-CA-90404/20471195_zpid/
905 Berkeley St,Santa Monica,CA,90403,3750000,3495.0,4.0,5.0,32,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/905-Berkeley-St-Santa-Monica-CA-90403/20469353_zpid/
1159 Centinela Ave,Santa Monica,CA,90403,3499000,2809.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1159-Centinela-Ave-Santa-Monica-CA-90403/20467856_zpid/
2310 Ocean Park Blvd,Santa Monica,CA,90405,1995000,3260.0,5.0,5.0,169,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2310-Ocean-Park-Blvd-Santa-Monica-CA-90405/2097905572_zpid/
1824 10th St,Santa Monica,CA,90404,2725000,4000.0,6.0,5.0,172,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1824-10th-St-Santa-Monica-CA-90404/20479961_zpid/
2910 Highland Ave,Santa Monica,CA,90405,2195000,NA,0,NA,106,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2910-Highland-Ave-Santa-Monica-CA-90405/20483058_zpid/
2602 3rd St,Santa Monica,CA,90405,4495000,4103.0,4.0,3.0,209,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2602-3rd-St-Santa-Monica-CA-90405/20482538_zpid/
1144 Chelsea Ave APT A,Santa Monica,CA,90403,2245000,2748.0,3.0,4.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/1144-Chelsea-Ave-APT-A-Santa-Monica-CA-90403/20474178_zpid/
